senhJorth0,senhJorth1,senhJorth2,senhJorth3,senhJorth4,senhJorth5,senhJorth6,senhJorth7,senhJorth8,senhJorth9,senhJorth10,senhJorth11,senhJorth12,senhJorth13,senhJorth14,senhJorth15,senhJorth16,senhJorth17,senhJorth18,senhJorth19,senhJorth20,senhJorth21,senhJorth22,senhJorth23,senhJorth24,senhJorth25,senhJorth26,senhJorth27,senhJorth28,senhJorth29,senhJorth30,senhJorth31,senhJorth32,senhJorth33,senhJorth34,senhJorth35,senhJorth36,senhJorth37,senhJorth38,senhJorth39
"(0.006928607507649419, 168.55754274188732)","(0.006771506226234158, 171.9876171377275)","(0.004278385821228826, 233.0556080533667)","(0.005637442579641655, 201.10065292397692)","(0.005203779719192746, 200.2153597085772)","(0.006094013928311745, 158.96883077752213)","(0.004641346652323337, 213.43358787408113)","(0.004882494238165203, 218.15346529821275)","(0.005502535164028724, 193.56077683634916)","(0.004276710225405555, 233.30332169063482)","(0.006291314589124309, 171.50124104397082)","(0.004535280512300464, 226.97515676943232)","(0.005376457396908954, 186.63283188671932)","(0.005830271537607208, 185.1943510246911)","(0.007083801343932401, 149.7830670902338)","(0.005808265315193956, 183.5518432400729)","(0.004228036250959694, 227.870871986611)","(0.004244124944398897, 225.99535315636865)","(0.0049066140481771195, 217.21995909960646)","(0.004936863852570968, 212.61190849074387)","(0.005666072681464296, 192.74721529000314)","(0.004547916788198746, 227.85842881603736)","(0.0064866513805599095, 174.89331847972804)","(0.00457781265856048, 228.28391874825678)","(0.004318771758294714, 216.35478048202611)","(0.004435190921708496, 231.01044131520163)","(0.004858607023344603, 216.0854136156441)","(0.004492651090086078, 230.907204607848)","(0.004178249628990364, 234.03058881164085)","(0.004512471161841925, 224.09157534682754)","(0.004169140934109673, 230.00309861651198)","(0.004645585029318079, 217.64221235358667)","(0.00020152323402171363, 7212.679150423994)","(0.0006136885405213223, 1847.748910110392)","(0.0005855618038485919, 2913.722870973303)","(0.00017075760605721643, 6770.668308340473)","(8.567863014546771e-05, 13959.84450821626)","(0.0011893428573592354, 1348.3747391814786)","(0.00010053364248085528, 3311.3883321378753)","(3.256513793015613e-05, 45878.588594201)"
"(0.007574072280109934, 159.3094005880534)","(0.00908552485790484, 147.9723909298967)","(0.007927022675973025, 169.04019194318442)","(0.00921669846226644, 148.39534586508086)","(0.007674659708040128, 160.00891179742598)","(0.006533147038322409, 151.88216917963618)","(0.0074578838695469035, 166.97478556350958)","(0.008632994833849373, 156.81275376111657)","(0.008334074632342186, 156.3547976485631)","(0.007891224190159888, 169.79250222094473)","(0.008186045065032004, 156.0606823395114)","(0.008244867885970232, 162.779022385301)","(0.007215021087318017, 163.21959222721918)","(0.008132131935980374, 157.68754946065602)","(0.006879452107690878, 153.96076338427685)","(0.008002360631241516, 156.5669463755817)","(0.007020140056197572, 182.47076262115468)","(0.007030655747421277, 181.75824797336298)","(0.008366298084142902, 158.99326747197276)","(0.008104316202108264, 160.4372927084257)","(0.007985870002997827, 157.68284431972373)","(0.008201184058252032, 163.51594904691754)","(0.008649212795170544, 153.30243680088736)","(0.008414369795496533, 160.57240067065106)","(0.006681039018619221, 181.53531271786233)","(0.008177260296615524, 163.9953358692168)","(0.008231864801058478, 159.61620747080306)","(0.008421160851185602, 161.12439554900735)","(0.00762633669753279, 174.8497240321309)","(0.00795498827981627, 164.8121565607357)","(0.007173981627249125, 180.5944632862214)","(0.0072380886273198984, 169.19153062287214)","(0.0013549763577650627, 1184.5491131657295)","(0.000992143050352753, 1555.6691111923253)","(0.0009429550271744928, 1800.3673595157836)","(0.0002704075029032506, 4874.115255243631)","(4.908348247063923e-05, 27520.197597484173)","(0.0012479876002298173, 1259.3122181940832)","(0.00015123365201332554, 4971.037849622701)","(3.1207169768521684e-05, 52784.077728526136)"
"(0.008163719457285779, 154.15268866422292)","(0.008887472312672291, 150.33887114469476)","(0.009049164715908714, 153.03014918312905)","(0.009123586890806867, 149.08856907852544)","(0.008266991742956612, 153.89418874387425)","(0.006827689744061649, 152.11700678808862)","(0.008657898451457504, 152.84304986233792)","(0.00887054396796825, 153.48451079747684)","(0.008223291020817527, 157.39740084106012)","(0.009165573364075124, 151.64335106059917)","(0.007786096700522945, 159.7601691752476)","(0.0088866022075933, 153.98273926055404)","(0.007788680061217257, 156.69296917580243)","(0.00801864026840379, 158.4897340947933)","(0.00710231009890063, 155.54490251841196)","(0.007803175267859099, 158.62904081540958)","(0.008747396534591466, 156.7813890285828)","(0.008697100707037983, 157.0185058589372)","(0.008633352804631268, 155.90624616436875)","(0.008605127852968446, 154.21485963606972)","(0.008424699434155889, 153.75670190057863)","(0.008951936673929357, 153.11151914018708)","(0.008187408329558893, 158.7440605744397)","(0.009074885083658108, 151.76460747942318)","(0.008001969452245116, 162.8937202065324)","(0.0090183953495489, 152.61067169118496)","(0.008588183294933474, 155.16224016644625)","(0.009162075647121704, 151.11296704702693)","(0.009192629572525389, 151.63565059250647)","(0.00866922661367088, 155.70519041822206)","(0.008998652361803958, 153.46936604427583)","(0.008967033924297067, 148.69762122181837)","(0.00205151463247027, 763.4309308750743)","(0.0023447501421844917, 695.3687544472891)","(0.0021710466444437443, 787.2146436033267)","(0.00025028461428766867, 5198.732312853961)","(5.786297246136198e-05, 18713.717833154653)","(0.0012758730635275683, 1240.7773956385472)","(7.050161004797387e-05, 5244.849604370739)","(2.3553459845885416e-05, 72169.21574464346)"
"(0.007293871831223985, 160.08893205987488)","(0.0076201693266036005, 159.75952538951623)","(0.006117553372854082, 199.0952707677513)","(0.007263231735177971, 170.15901947747707)","(0.0067031538771827786, 169.84096862838425)","(0.00647849831741811, 151.54381889940117)","(0.006255271931143751, 183.9991642875966)","(0.006795907031777467, 180.63801260156671)","(0.006980373905076944, 167.08557748115012)","(0.0060896695315135006, 200.00667168114325)","(0.007117786606308961, 160.0508697229372)","(0.006464241190375452, 189.09793798866556)","(0.006261067314129333, 170.67751361651196)","(0.007074122084930187, 163.87194208995345)","(0.00708080164052903, 151.87563170557925)","(0.007048362521930746, 160.62743508023576)","(0.005680471588562864, 201.67427771673556)","(0.005690058679205238, 200.32281182811988)","(0.0067392648282717455, 180.45238316964233)","(0.006748880693166612, 176.54684232929478)","(0.007085750444002582, 166.84576885360434)","(0.006452808577305339, 190.0829128354015)","(0.007255894637744286, 163.09581609555346)","(0.00656485361769307, 188.41463861693197)","(0.005633002938114676, 192.479027602129)","(0.006268576644196956, 194.67216923484852)","(0.00668135968008396, 179.3270369087663)","(0.006498699494295067, 191.25096716809966)","(0.0058990257246465845, 203.92275523558212)","(0.006344654979254183, 188.3331448856559)","(0.005742478458736421, 203.29315566153772)","(0.006341565719947423, 183.84022335174728)","(0.0011693062257377414, 1267.8511617390618)","(0.0005984790537230597, 2350.664280052365)","(0.0002204043749394211, 7639.947601907525)","(7.592490665903225e-05, 16934.175269178504)","(7.786391071968079e-05, 17345.965115447074)","(0.0007125956787406136, 2177.671778418668)","(9.240923774793121e-05, 2835.7581695463864)","(6.48084217880318e-05, 25499.835281893567)"
"(0.007506411884069014, 160.38830458701884)","(0.008256493613790045, 158.31132340950157)","(0.006376810977468137, 195.5343801279214)","(0.00792494739833289, 167.1123293082975)","(0.007017923749059544, 169.85669540426207)","(0.006679591589499816, 152.21142111780253)","(0.006428501401330993, 183.08797936016484)","(0.007221197449768968, 178.94085984286966)","(0.0073495921872761705, 168.52871826727787)","(0.0063493583625145915, 196.68200959860422)","(0.007576746700131705, 162.1475861881368)","(0.0067137495869874185, 187.50182218776794)","(0.007002590485374231, 165.63422341326293)","(0.007322657495031403, 167.37201622873596)","(0.007112508281544407, 153.42262308717787)","(0.007319463192820664, 163.69477210205764)","(0.006167438559958276, 198.01273087479044)","(0.006200126382593605, 197.07421797755669)","(0.006960567439905866, 181.2928249753291)","(0.006896650636491458, 178.9457650117981)","(0.007276830871577326, 167.75952367770765)","(0.006674585670285174, 188.08192021664266)","(0.00790024348659287, 163.35483903609347)","(0.00680187056518084, 186.7740249791055)","(0.00620250749755926, 188.08294950382245)","(0.006589586598243343, 190.66806837820292)","(0.006875368916206008, 180.50813612564713)","(0.006744389571442824, 188.9209627688889)","(0.006203462610150883, 199.84664453736917)","(0.006535744938655399, 187.82607742088612)","(0.006073835701189842, 200.026365099322)","(0.0066394695313871715, 179.85263345797185)","(0.0009503994441381731, 1678.2275235027328)","(0.001079167607993625, 1358.7609287733678)","(0.00044744051069644115, 3848.2877913215793)","(0.000532132695200084, 2486.286500236574)","(2.8502109103546008e-05, 47553.74528417195)","(0.0003333402930231001, 4654.086052142437)","(0.00017871605831601135, 4089.75684088634)","(2.672479846241642e-05, 60366.177789098365)"
"(0.006954172496037413, 160.97932802382508)","(0.006426819380383251, 168.38685559627694)","(0.004752693720537634, 218.9467876913232)","(0.005709000363643864, 188.31928631830436)","(0.005955891673787356, 175.84415623939597)","(0.006303338648869095, 153.09927125130866)","(0.0052397186344808715, 192.22762703638992)","(0.005271455623350766, 199.70952430280542)","(0.005972400872744217, 174.2818735148201)","(0.00473068680521425, 219.9650772517946)","(0.006336559556582696, 162.61914474696036)","(0.005032040197281319, 208.44315051848685)","(0.00593952456947251, 169.54239142557873)","(0.006071439775542396, 170.66657048181563)","(0.006680817811867024, 148.7963431616307)","(0.006176829899196795, 165.46192602659013)","(0.004837918153021345, 207.64946118476914)","(0.0048920266405667046, 204.88293199318048)","(0.005453554873177456, 195.56620896812382)","(0.005548586539187434, 190.84058382843872)","(0.006186991016999787, 177.74373449699237)","(0.005040151676982812, 210.84267263599017)","(0.006207365693805015, 169.050236157337)","(0.005037434518667714, 210.84970918152172)","(0.005099004211300619, 193.80424677161685)","(0.005008585656863949, 215.712580637549)","(0.005394439842856036, 194.39879156504944)","(0.0049437068790008885, 214.78513486314463)","(0.004671295827580675, 220.5714765373038)","(0.0050554018320760835, 204.0268144127949)","(0.004745944082844078, 213.77134197056745)","(0.005353177749372254, 191.81651915301586)","(0.0008719402364107366, 1574.4173896553596)","(0.0004591455356006437, 2721.252761379903)","(0.0005285729312671349, 3032.73726161569)","(0.00031066130224966486, 3972.603093129122)","(1.9038401765504186e-05, 63626.26752734079)","(0.0007349732397584147, 2083.663330137511)","(0.000340136001887775, 396.0321036533057)","(9.42667194375276e-06, 163436.53158208495)"
"(0.007181509800831657, 166.93439650643825)","(0.00745605778082673, 163.231914603154)","(0.0065098521183911675, 196.3644989198327)","(0.007149554410796599, 173.2270766268861)","(0.00678694716753691, 172.54895886872097)","(0.006342398856514473, 153.3433447884004)","(0.006552459474557323, 184.54884126328062)","(0.006819342477907054, 182.99635832343915)","(0.006785809565305562, 173.75181323415237)","(0.00655137356841693, 196.08939096657636)","(0.0065277497780288265, 167.25469738031134)","(0.006635975266957328, 189.7960124249796)","(0.006129648514012867, 177.59682678637313)","(0.006594542434451011, 169.28811769413517)","(0.006901732629988738, 149.4947474326271)","(0.006592178144069117, 167.19957311794278)","(0.006099437656596467, 204.88648852344537)","(0.006073448171353643, 204.34346422825706)","(0.006940698296315193, 179.88047301405237)","(0.0069686387129040865, 177.32644173154398)","(0.006963792292543454, 171.42980661580367)","(0.006679241890821169, 189.48016337017617)","(0.006591989580516439, 172.53909258367298)","(0.006789981965451398, 187.53277121822882)","(0.00582187469475626, 201.2884220828027)","(0.006572437427084853, 193.54713577385016)","(0.006660591872961175, 182.29274535071966)","(0.006777374268491216, 189.14391899078842)","(0.006422329760093167, 200.4117940396799)","(0.006539384903982578, 188.76394541564045)","(0.006216393984800528, 203.79234535961356)","(0.006613743139200126, 186.82110100023837)","(0.0013196635953306314, 1058.6197581225824)","(0.0013877484515553763, 1070.4221104925766)","(0.001183312517006596, 1453.809808149824)","(0.0003824375335468243, 3421.0641520807985)","(1.8208785652819263e-05, 64455.27197608459)","(0.0005820152352116901, 2519.239255041356)","(0.00010476133064121107, 2227.027533313009)","(9.460562222454915e-05, 18285.302160112504)"
"(0.007576979445899711, 162.55011725643726)","(0.007856689887881053, 162.47679351016575)","(0.005759649019750963, 215.05241609057902)","(0.007166964198317009, 179.264087374737)","(0.006547892607105335, 182.6926582255501)","(0.006362571218547319, 158.29042216140908)","(0.0059780403745642195, 199.50307583668794)","(0.006651026378935744, 191.91500760332156)","(0.007071320725199493, 177.5299592228255)","(0.0057388801104519644, 215.86641219147893)","(0.007231453372792379, 167.25243961390788)","(0.006067267554565341, 205.3608939860722)","(0.0060482532089860385, 185.92242072984484)","(0.006899538391135687, 174.38163778422205)","(0.007222574528540223, 150.36279658082515)","(0.006930568715193826, 172.78265815222827)","(0.005363147453720303, 222.98804819068363)","(0.005312600457886878, 223.0976055311684)","(0.006428041393949292, 193.85223040379745)","(0.006409778453095072, 191.70847432659727)","(0.006671921136961962, 181.05908972712717)","(0.00605659131686002, 205.3244825286476)","(0.007377447552673789, 168.31213805770523)","(0.00618740251525857, 203.26428586765502)","(0.0051724416837139655, 216.13889266138173)","(0.0058828356763298085, 210.60843422239026)","(0.006310320833326937, 194.45717281572124)","(0.006107374382734296, 206.18816474905861)","(0.005546155630158177, 221.767276849426)","(0.005963641470776102, 204.86094678583197)","(0.005366305939462152, 224.50525542891896)","(0.005824911058674675, 205.59929036420417)","(0.0015133783241981667, 1000.5999264913104)","(0.0017461010660353277, 807.516152820485)","(0.0011058654052877195, 1558.1022661795594)","(0.0005829109464386252, 2226.5414819582656)","(3.6961816255770346e-05, 36372.80633213342)","(0.0010133128964876993, 1529.6343551045484)","(0.00012328654698397524, 4819.310472158423)","(1.5230818126896526e-05, 107854.48774504394)"
"(0.007640469740618464, 155.9783539252409)","(0.00754692467532885, 161.08978747213976)","(0.006012195082472842, 201.58860371605687)","(0.0071496361380591995, 171.99346885140451)","(0.006643555101618658, 171.27214185778118)","(0.006399469828607469, 153.8355255889232)","(0.006249859371810533, 182.88501576548208)","(0.006527673977183356, 185.46883699513444)","(0.0067938264837632675, 171.51346118310107)","(0.006029058717165948, 201.00001560318836)","(0.006970056468399486, 163.20058323583146)","(0.0062414324472963925, 193.5905568049257)","(0.006734597904037576, 161.8332272868136)","(0.006752277043553575, 168.90684782149742)","(0.0070786564049639174, 149.15268052553716)","(0.0067418524695515535, 165.3470272607418)","(0.005965181223329025, 198.630054626)","(0.006020086071945785, 196.72583205564902)","(0.006535376073317687, 183.80926587191493)","(0.006593140156267312, 178.16675386149674)","(0.007021099935877624, 166.3007387680159)","(0.006305689457032857, 191.90248528580003)","(0.0071623399807663945, 165.54820288186363)","(0.00635020832569485, 192.09766657688715)","(0.005988359931049441, 188.3682040985125)","(0.006182140137153836, 196.1042136068039)","(0.006463032078844572, 182.56989384942395)","(0.0062860754087365, 194.80823774516352)","(0.005942409171612817, 204.21811325060858)","(0.00616368471874518, 190.8438341146728)","(0.005919489867681051, 201.35093525884014)","(0.006536725693353529, 179.72333716365432)","(0.0007253281548113912, 2071.044567783381)","(0.0015091102384566476, 946.2172994909203)","(0.00033882515707481025, 5009.169039102713)","(0.0005275382570571193, 2468.187310248076)","(1.9421831557262894e-05, 62789.854907757406)","(0.0009080362167043511, 1723.920784322663)","(0.0001716692899573991, 1414.6975283669503)","(4.534410474415699e-05, 37020.96164779139)"
"(0.007426003767201375, 158.82037920952337)","(0.007506912404224979, 160.0993953686693)","(0.005804301414312335, 209.52752224001654)","(0.006930157117357814, 175.2582907532177)","(0.006612055488032057, 170.6383896661418)","(0.006319503958479748, 152.66532456478757)","(0.006129734579777533, 184.46920763738086)","(0.006367754485717522, 189.74662836453376)","(0.006696377592411656, 171.45293196816257)","(0.005795131183012833, 209.92761517799715)","(0.006990434989763631, 160.13073980621735)","(0.006089933710732537, 198.36273276123003)","(0.006434625566862807, 165.79331292540328)","(0.006831421682046411, 164.7953783753147)","(0.006817358708221446, 148.0548941057067)","(0.006860763045914399, 163.13022689559622)","(0.005578268373375291, 211.57758433554415)","(0.005607318126367581, 209.84827142445903)","(0.006309955196200989, 189.28412297534817)","(0.006403872627795451, 183.0761711623261)","(0.006947041796639304, 169.42336791262798)","(0.006086255011005485, 199.15976640397042)","(0.007150299587820395, 164.2758613347485)","(0.006197586203599483, 197.51738066939086)","(0.005579220994615629, 197.76962377151327)","(0.005961673260588259, 203.58902746281257)","(0.0063605354691114585, 184.99516619537218)","(0.00610163926996957, 201.57681573082476)","(0.00561897373105022, 216.01756028434883)","(0.0060537822018514225, 194.85061282118355)","(0.005525720844875566, 214.99062233240997)","(0.0060606618927838305, 189.75444177831776)","(0.0006674066245244207, 2260.0018734018936)","(0.0012716984719011106, 1133.8660402503642)","(0.00041572504198039494, 4064.2824063423336)","(0.0002970835930406236, 4414.502333101465)","(2.1799724612582823e-05, 62498.25624050512)","(0.000996058317984797, 1559.3680167965347)","(0.00013569306790079926, 3597.43990290583)","(5.223956900497912e-05, 32319.867178987013)"
"(0.0072520798597737095, 166.83790024024617)","(0.007836074540860778, 165.30219026250904)","(0.0063679685499466, 201.77756538472119)","(0.007557823112708105, 173.32782945940954)","(0.006939323287869538, 174.80944222072824)","(0.006473867550126044, 155.55686320331333)","(0.00665007101498445, 186.18875678657938)","(0.006881957058015804, 186.5126334345128)","(0.006986657008210006, 178.8853162060125)","(0.006383230242709236, 201.53369237806515)","(0.007101934715908619, 172.15961873544282)","(0.0066306038763732185, 193.20265540801765)","(0.0063785695307470355, 178.11212330076063)","(0.00700247830121804, 174.45218588824181)","(0.007384392705655787, 151.40322459908455)","(0.006987144351673874, 172.77531208076888)","(0.005934147327175966, 207.6029623386798)","(0.005902850634463795, 207.23620709260518)","(0.006934292364874872, 185.01734010830558)","(0.006858668850539644, 183.3614996476023)","(0.007085011958872487, 172.85896175912023)","(0.006605236948320996, 193.92794093627344)","(0.007174913494697204, 174.32019779568407)","(0.006773606694024764, 191.18997134146673)","(0.005643516724571178, 204.26866204060283)","(0.006544030826835014, 197.19041586514896)","(0.006766737964449992, 186.19598889442068)","(0.006709042967226013, 193.5761999634428)","(0.006166720375121272, 207.36693799855672)","(0.006528743562679337, 192.3958434345809)","(0.005935557747598771, 209.8539330619246)","(0.006436184185330708, 190.57166368789848)","(0.0011288726767135777, 1346.8228128459907)","(0.0019986122380242256, 743.0139699396584)","(0.0003731302470827344, 4644.2608216177405)","(0.00014229618186728518, 8928.052500136306)","(5.796777351591736e-05, 23674.71020738963)","(0.000859584780903694, 1815.7872053463705)","(0.00010599542097747989, 2465.8958071138363)","(0.00010501816360288962, 16082.200109324845)"
"(0.008329119768240903, 151.47002747858213)","(0.009282189794582063, 142.38010105028565)","(0.00742922387371627, 181.7459403916845)","(0.008847444809494339, 151.74706437230833)","(0.007593382105843232, 164.15262879031243)","(0.006378848485757303, 152.7277197953855)","(0.0074211765367352646, 172.65763179549316)","(0.008262536456544902, 163.7628648576787)","(0.008176883800220172, 156.51455629962572)","(0.007438107538453833, 181.66872577180357)","(0.008186129127794121, 148.9161845650594)","(0.007821853999590152, 172.5022686133612)","(0.006618927310123927, 173.39008635426225)","(0.008210220825720146, 154.02894178202305)","(0.007751656746255237, 150.77234580120887)","(0.007988746047907218, 153.26479312172154)","(0.0066594340988605245, 196.84393145636201)","(0.006576505628082489, 198.14090192110373)","(0.00800809326916089, 166.28329329040724)","(0.007944295788875937, 165.92031498455498)","(0.0078470346357208, 161.2716833127124)","(0.007793745827906348, 173.1332014868537)","(0.009068994329985562, 144.57627644143605)","(0.008051111362280605, 169.17520341210252)","(0.006152850034803684, 199.180400316391)","(0.007534155915228072, 178.2121402294048)","(0.007885695894000462, 166.6082369693669)","(0.007965799031005505, 171.53862821080799)","(0.007159489954378974, 187.81560718637533)","(0.007508880643688911, 175.29972919892674)","(0.0068157725124127514, 193.78064414772734)","(0.007319552388598647, 177.51929257951736)","(0.00038066809603223763, 4193.889168150903)","(0.0012194544788385827, 1248.024358429159)","(0.0016208812090915843, 1055.095479168691)","(0.00024952946461953904, 5304.683590984325)","(8.320544514495731e-05, 14150.887259172965)","(0.0011949400890486842, 1286.5039666104672)","(4.9608284308904615e-05, 6729.338547084074)","(4.3768280794647664e-05, 39051.152553832304)"
"(0.00658407165698128, 176.81028651869678)","(0.007169739161068212, 171.37316269893688)","(0.00543326167996131, 222.76397601825508)","(0.006537935278506873, 188.5787403031773)","(0.0061244234399541395, 190.73231434603156)","(0.005960617227962873, 157.46396004827412)","(0.005622683680866711, 208.38008407952705)","(0.005960586767327064, 203.9037365754884)","(0.006155198317301815, 188.42648223931243)","(0.005419379430095396, 223.6433327951428)","(0.006302550951173309, 174.80673477352386)","(0.005678088077069138, 213.36473571607806)","(0.005311704661602486, 192.13391226393878)","(0.006223283385238285, 181.35159132582027)","(0.00664925748674245, 154.44262827460622)","(0.006289560187645907, 177.28807875398155)","(0.00495226921715281, 230.36089920009982)","(0.004897082367069605, 230.02416510318412)","(0.006119123720273113, 199.82520528218188)","(0.006119532102233352, 197.4759973763059)","(0.006575903066581282, 184.7680948714425)","(0.005731205194879802, 212.72332910156618)","(0.006388874845614762, 179.79587610495108)","(0.0058226237597019575, 211.27198424022038)","(0.004736589724785324, 222.57260463614077)","(0.005523511061976291, 219.4931856705382)","(0.005884157894107704, 202.97600241510284)","(0.005761588601126382, 214.04053882295034)","(0.005257064296802159, 228.29022676995237)","(0.005567371133347882, 214.2749451051467)","(0.005049951330203956, 230.67771022052617)","(0.005548934320530325, 210.95607357554243)","(0.0007493768997199625, 1807.7414564539956)","(0.0011892388270920472, 1131.9314017494871)","(0.0026296374632431194, 656.455634312857)","(9.948429797797201e-05, 13065.955437351111)","(5.482024763393651e-05, 24207.15636809425)","(0.0008653343770246969, 1820.2276324392337)","(5.606121955982157e-05, 4379.631396854113)","(3.39627149731131e-05, 50196.72162091447)"
"(0.007822355499891317, 158.9497051284554)","(0.008412975439189257, 154.27917684274286)","(0.007004517647532357, 189.79984007957225)","(0.007939994602170953, 165.4488013579441)","(0.007119157579971544, 173.5003523373346)","(0.006364549547297387, 154.18837242686902)","(0.006966264785552134, 182.21164721702604)","(0.007442898711617991, 176.88471575374913)","(0.007434571637548011, 167.15854564345602)","(0.007002892405620219, 190.14960959401935)","(0.007233778607529683, 161.6515642823073)","(0.007185255592628449, 184.0222272928991)","(0.0063779537400642525, 176.0190331993644)","(0.007202257807463463, 168.57230607228047)","(0.00693403257550412, 151.04719591841865)","(0.007177829771572566, 164.53913518306146)","(0.006506289242469299, 199.03885405995294)","(0.006400439835399115, 200.15926441388274)","(0.007391463193549171, 177.01687703896334)","(0.007335849613129914, 175.51563158636264)","(0.0070846474719650394, 172.1674081819369)","(0.007214599899883268, 183.40657919332293)","(0.007677860381945318, 162.41910277834035)","(0.0073787588788275385, 180.99214991242673)","(0.006105767740259448, 197.66806800170343)","(0.007046451736269052, 187.93895091041136)","(0.007250301509176348, 178.26301219698058)","(0.00733404001129344, 182.57213260226325)","(0.006852011669749459, 193.76618116475862)","(0.007009044569725486, 185.71729576273606)","(0.006609744998159624, 197.6864137588503)","(0.006947158793962535, 184.40248404407563)","(0.0006947123935518609, 2175.750000314947)","(0.0014242005936173534, 1084.2803728181295)","(0.0021880869128458585, 777.7262726293407)","(0.00019775214405043986, 6582.705122510877)","(3.362593725402925e-05, 39566.374333967746)","(0.0009614441150100498, 1625.2863621906931)","(7.747004253502264e-05, 6484.036894660321)","(2.541361957196241e-05, 66396.1708879525)"
"(0.007911859857631593, 158.64384270237844)","(0.009624686234157324, 143.09765485858307)","(0.008029259120149216, 168.92800548662836)","(0.00954107553881387, 145.78640025786225)","(0.00774044729879639, 163.1725949244523)","(0.006671730461881235, 155.27280983915043)","(0.007543104739883867, 168.88643610050883)","(0.00890989693787295, 155.2858272807619)","(0.008899121087962121, 152.15432941386143)","(0.007952558687466528, 169.85324364050717)","(0.008692843395388377, 153.3479841674436)","(0.00844356187234408, 161.98591081759753)","(0.007409996386247314, 164.87103877213085)","(0.00843266558851147, 156.96136511048977)","(0.00706614879903644, 149.9291426785398)","(0.008457926017267478, 155.04842220665256)","(0.007192030283847804, 179.8743903066922)","(0.007177063744009869, 179.9400095859103)","(0.008504635579123766, 159.4169288502973)","(0.008214196772970845, 161.45378220756055)","(0.007886696375058882, 160.73314917868856)","(0.00827442624313931, 164.43210077917809)","(0.009103245309235845, 150.58897062739814)","(0.008540489997629436, 160.5922669238498)","(0.006902715469194231, 179.11337928848707)","(0.008243290576486114, 164.8210478483639)","(0.008446917372663133, 159.9901124766693)","(0.008520611417504237, 161.28338534833202)","(0.007727587261215775, 173.5338759681258)","(0.008082815160342741, 165.7929983324479)","(0.0073238742093260185, 178.41646782805896)","(0.007350836484052241, 169.37942097792728)","(0.0016697178212358675, 986.2059491558455)","(0.0004822743668435456, 3228.8078365488263)","(0.001960406414890966, 865.7780415499277)","(0.00046328366409689216, 2797.028733707115)","(9.000157910458833e-06, 130092.6912299022)","(0.0012701002041653302, 1248.040767231311)","(9.433100865389433e-05, 2687.9594943691372)","(4.7541092502475356e-05, 36099.476905728035)"
"(0.007110242718797262, 165.33979164314067)","(0.007204925631247271, 166.41861256676643)","(0.004663927751409584, 224.0003543660002)","(0.006257146976228272, 190.62695228643116)","(0.005842262692278924, 189.97710150224313)","(0.006105414064421755, 157.68000221791232)","(0.0050196169113739956, 203.55836174219266)","(0.005472825178529139, 208.2570382157791)","(0.0060705709292376, 185.59285153290452)","(0.0046421899005557226, 224.31367156461766)","(0.006736242765991038, 167.9267467176796)","(0.004979123713497195, 216.77678769389135)","(0.005593369331622941, 184.28144735579386)","(0.00626917408009245, 179.2354294076196)","(0.007408887919962882, 150.85198029803237)","(0.006268789214749478, 173.65820179395777)","(0.004495501624409866, 223.7989060132027)","(0.004505836211333063, 222.5532146366838)","(0.005356889713446843, 206.48458300184197)","(0.005345849283656333, 202.6837566424307)","(0.006340412194785801, 184.0529430039914)","(0.004969114763657805, 217.42171266499147)","(0.007031801064315423, 168.4039409185334)","(0.005032356605991496, 217.345233115027)","(0.004555456093187665, 210.132634032045)","(0.004940696730134239, 221.11225749876567)","(0.005331327313848049, 203.82748650391446)","(0.004933142396047776, 220.67068992461694)","(0.004501786787342063, 226.9274547684488)","(0.004973462671602788, 213.1776098372725)","(0.0044440025682657815, 224.65687452652784)","(0.005257948571022486, 209.68893425748402)","(0.0007399584804702241, 2074.631834730841)","(0.0003176651168031901, 3767.9335284820263)","(0.0004966437006819664, 3473.456558761624)","(0.00010266346356464244, 12447.270357741792)","(3.4904908622041014e-05, 39010.584769312896)","(0.0003134365545108936, 4687.475607338502)","(9.252476394126791e-05, 6403.955191437483)","(9.489924284816314e-06, 143731.00168374073)"
